formula,k,c,s,zt
Bi0.92Ag0.08Cu1Se1O1,0.870728695,1.192081804,0.933028285,1.191825907
Bi0.90Ag0.10Cu1Se1O1,0.976945245,1.118877819,0.902589156,0.933023675
Bi1Cu1Se1O1,1,1,1,1
Bi0.98Ca0.01Pb0.01Cu1Se1O1,1.165064873,7.393074041,0.609801987,2.359677314
Bi0.96Ca0.02Pb0.02Cu1Se1O1,1.28063431,11.14782272,0.578964063,2.917884752
Bi0.92Ca0.04Pb0.04Cu1Se1O1,1.267659779,19.16462075,0.498020951,3.74966738
Bi0.88Ca0.06Pb0.06Cu1Se1O1,1.250360404,24.13709782,0.559691377,6.047098877
Bi0.84Ca0.08Pb0.08Cu1Se1O1,1.231619414,31.64646595,0.460437993,5.447421711
Bi0.90Na0.100Cu1Se1O0.90F0.10,1.040709617,5.843337534,1.456193167,11.90609609
Bi1Cu1Se1O1,1,1,1,1
Bi0.95Nd0.05Cu1Se1O1,0.997021883,2.010716629,0.834588862,1.40472512
Bi0.94Pb0.06Cu1Se1O1,1,1,1,1
Bi0.94Pb0.06Cu0.98Fe0.02Se1O1,1.018871221,1.145666582,1.016241145,1.161268108
Bi0.94Pb0.06Cu0.97Fe0.03Se1O1,1.127380744,0.912601455,1.08183804,0.94740362
Bi1Cu1Se1O1,1,1,1,1
Bi0.975Ca0.025Cu1Se1O1,1.079190056,5.194182939,0.717748736,2.479500382
Bi0.950Ca0.050Cu1Se1O1,1.122894948,9.236708572,0.589563986,2.859170188
Bi0.925Ca0.075Cu1Se1O1,1.237369687,23.24766348,0.558752728,5.865690591
Bi0.900Ca0.100Cu1Se1O1,1.293303929,33.89787031,0.426870218,4.775991318
Bi1Cu1Se1O1,1,1,1,1
Bi0.875Ba0.125Cu1Se1O1,2.024047555,37.49439645,0.419133261,3.254242472
Bi1Cu1Se1O1,1,1,1,1
Bi0.94Mg0.03Pb0.03Cu1Se1O1,1.327047851,6.636417091,0.679390725,2.308268457
Bi0.88Mg0.06Pb0.06Cu1Se1O1,1.485198702,11.5455377,0.558343472,2.423441205
Bi0.82Mg0.09Pb0.09Cu1Se1O1,1.668085969,19.27286685,0.4569241,2.412215046
Bi1Cu1Se1O1,1,1,1,1
Bi1Cu0.925Zn0.075Se1O1,1.058367533,1.44444997,0.877800802,1.051617833
Bi1Cu0.900Zn0.100Se1O1,1.119243046,1.570867316,1.004583682,1.41640463
Bi1Cu1Se1O1,1,1,1,1
Bi1Cu0.98Ag0.02Se1O1,0.933844292,1.347846207,0.920110854,1.221929584
Bi1Cu0.95Ag0.05Se1O1,0.817063332,1.207975011,1.054214544,1.643085777
Bi1Cu0.92Ag0.08Se1O1,0.842275111,1.126682349,1.154080029,1.781637619
Bi1Cu1Se1O1,1,1,1,1
Bi0.975Zn0.025Cu1Se1O0.975S0.025,1.242326333,1.749853154,0.890701379,1.117455308
Bi0.950Zn0.050Cu1Se1O0.950S0.050,1.081583199,1.490817246,1.090737564,1.639853366
Bi0.925Zn0.075Cu1Se1O0.925S0.075,1.119749596,0.731879234,0.995877474,0.648231795
Bi1Cu1Se1O1,1,1,1,1
Bi0.98Li0.02Cu0.98Mn0.02Se1O1,1.025270758,4.089258699,0.895208969,3.196353949
Bi0.96Li0.04Cu0.96Mn0.04Se1O1,1.162605295,5.011022261,0.905458768,3.533713966
Bi0.92Li0.08Cu0.92Mn0.08Se1O1,1.059566787,8.723146747,0.760800301,4.765255527
Bi0.90Li0.10Cu0.90Mn0.10Se1O1,0.925842359,8.125135077,0.784719779,5.404092095
Bi0.9Li0.1Cu1Se1O1,1.088447653,5.559109574,0.759661161,2.947389507
Bi1Cu0.9Mn0.1Se1O1,0.974729242,3.840069159,0.869011212,2.975129062
Bi1Cu1Se1O1,1,1,1,1
Bi0.875Ba0.125Cu1.00Ni0.00Se1O1,1.075347586,7.752681518,0.656632896,3.108481963
Bi0.875Ba0.125Cu0.90Ni0.10Se1O1,0.928240395,5.140264026,0.84673352,3.970255615
Bi0.875Ba0.125Cu0.85Ni0.15Se1O1,0.909851996,5.051567657,0.938218525,4.887237329
Bi0.875Ba0.125Cu0.80Ni0.20Se1O1,1.064284646,10.87438119,0.575841359,3.388070693
Bi1Cu1Se1O1,1,1,1,1
Bi0.960Ca0.040Cu1Se1O1,0.760615385,1.033452312,0.980742104,1.306877787
Bi0.925Ca0.075Cu1Se1O1,0.748717949,1.71868515,0.799323764,1.466640014
Bi0.900Ca0.100Cu1Se1O1,0.886358974,1.568232755,0.695945005,0.856940599
Bi0.850Ca0.150Cu1Se1O1,0.835897436,3.064082344,0.526689228,1.016848639
Bi1Cu1Se1O1,1,1,1,1
Bi0.98Pb0.02Cu1Se1O1,1.062704366,2.545218614,0.822579431,1.620571948
Bi0.96Pb0.04Cu1Se1O1,1.111944605,4.313628663,0.684587663,1.81809989
Bi0.94Pb0.06Cu1Se1O1,1.226582035,7.809068954,0.600358882,2.29469272
Bi0.92Pb0.08Cu1Se1O1,1.436814772,10.16634827,0.498207098,1.756240627
Bi0.90Pb0.10Cu1Se1O1,1.570686671,12.12071514,0.448029915,1.549004615
Bi1Cu1Se1O1,1,1,1,1
Bi0.98Na0.02Cu1Se1O1,0.937072893,1.676572901,0.7899729,1.116537858
Bi0.96Na0.04Cu1Se1O1,0.887386105,2.50807162,0.714092141,1.441238373
Bi0.94Na0.06Cu1Se1O1,0.845387244,2.747539181,0.700542005,1.594984866
Bi0.92Na0.08Cu1Se1O1,0.812927107,2.665278367,0.720867209,1.7037329
Bi0.88Na0.12Cu1Se1O1,0.868308656,3.297249531,0.650406504,1.606376847
Bi1Cu1Se1O1,1,1,1,1
Bi0.975Sr0.025Cu1Se1O1,1.10632811,2.058393113,0.928114319,1.602681851
Bi0.925Sr0.075Cu1Se1O1,1.310454275,15.65322812,0.495078862,2.927728565
Bi0.875Sr0.125Cu1Se1O1,1.547510415,23.02352941,0.42319318,2.664499485
Bi0.85Sr0.15Cu1Se1O1,1.591152549,34.28823529,0.37697978,3.062452974
Bi1Cu1Se1O1,1,1,1,1
Bi0.96Cl0.04Cu1Se1O1,1.014666456,0.28423366,0.847687124,0.201290545
Bi0.94Cl0.06Cu1Se1O1,1.048730484,0.235152074,0.853326695,0.163273456
Bi0.90Cl0.10Cu1Se1O1,1.073174578,0.152454079,0.845805291,0.101627085
Bi1Cu1Se1O1,1,1,1,1
Bi0.96Yb0.04Cu1Se1O1,1.348979592,3.126373626,0.852413541,1.683977093
Bi0.94Yb0.06Cu1Se1O1,1.287172012,5.784395604,0.739308546,2.456251613
Bi0.90Yb0.10Cu1Se1O1,1.186588921,2.166153846,0.900689737,1.480946729
Bi0.85Yb0.15Cu1Se1O1,1.30787172,12.33494505,0.464827727,2.037774491
Bi0.7Yb0.3Cu1Se1O1,1.285131195,13.36373626,0.473104029,2.327521621
Bi1Cu1Se1O1,1,1,1,1
Bi0.94In0.06CuSeO,1.113914013,4.586206896,0.614079055,1.55301084
Bi0.92In0.08CuSeO,1.209640915,5.367816091,0.569889634,1.441708062
Bi1Cu1Se1O1,1,1,1,1
Bi0.98Ho0.02Cu1Se1O1,1.083829805,1.38461538,0.864618704,0.955030659
Bi0.96Ho0.04Cu1Se1O1,1.146948716,1.69230769,0.805953476,0.958418689
Bi0.94Ho0.06Cu1Se1O1,1.198232831,2.871794868,0.694639966,1.155675839
Bi0.92Ho0.08Cu1Se1O1,1.218943724,3.679487177,0.651017104,1.27847646
