Material,zt,nomalized_zt,k(W/m-k),nomalized_k,Conductivity(S/cm),nomalized_c,S(__V/K),nomalized_s,calculated_zt,normalized_calculated_zt,cop_normalized_calculated_zt,error_zt
Bi0.875Ca0.125Cu1Se1O1,0.66,1.466666667,0.7528,1.39484899,262.251,8.25025954,164.632,0.505834711,0.660943127,1.513413745,1.513413745,0.1
Bi1Cu1Se1O1,0.08,1,0.6636,1,4.6,1,406.517,1,0.080187545,1,1,0.2
Bi0.995Na0.005Cu1Se1O1,0.53,6.625,0.605,0.911693791,41.843,9.096304348,327.191,0.804864249,0.518284449,6.463403361,6.463403361,-2.2
Bi0.990Na0.010Cu1Se1O1,0.47,5.875,0.605,0.911693791,43.694,9.498695652,300.899,0.740187987,0.457726397,5.708198148,5.708198148,-2.6
Bi0.985Na0.015Cu1Se1O1,0.66,8.25,0.5358,0.807414105,52.806,11.47956522,306.292,0.753454345,0.64721699,8.071290735,8.071290735,-1.9
Bi0.980Na0.020Cu1Se1O1,0.6,7.5,0.4825,0.727094635,45.875,9.972826087,303.82,0.747373419,0.614341026,7.66130232,7.66130232,2.4
Bi1Cu1Se1O1,0.23,1,0.589690722,1,11.503,1,409.476,1,0.228950591,1,1,-0.5
Bi0.975Cu1Se1O1,0.44,1.913043478,0.435051546,0.737762238,19.898,1.729809615,371.371,0.906942043,0.441552882,1.928594635,1.928594635,0.4
Bi1Cu0.975Se1O1,0.53,2.304347826,0.525773196,0.891608392,35.418,3.079022864,332.325,0.811586027,0.520774438,2.274614949,2.274614949,-1.7
Bi0.975Cu0.975Se1O1,0.71,3.086956522,0.393814433,0.667832168,41.979,3.64939581,308.333,0.75299407,0.70937931,3.098394746,3.098394746,-0.1
Bi1Cu1Se1O1,0.38,1,0.5611,1,27.38,1,334.884,1,0.38307165,1,1,0.8
Bi0.94La0.00Pb0.06Cu1Se1O1,0.53,1.394736842,1.0067,1.79415434,200.959,7.339627465,195.736,0.584488957,0.535361148,1.397548339,1.397548339,1.0
Bi0.93La0.01Pb0.06Cu1Se1O1,0.63,1.657894737,1.0316,1.838531456,260.045,9.497626004,191.86,0.5729148,0.649537298,1.695602635,1.695602635,3.1
Bi0.92La0.02Pb0.06Cu1Se1O1,0.58,1.526315789,1.0138,1.806808056,260.045,9.497626004,179.457,0.535878095,0.578249236,1.509506737,1.509506737,-0.3
Bi0.90La0.04Pb0.06Cu1Se1O1,0.61,1.605263158,0.8585,1.530030298,217.738,7.952447042,185.659,0.554397941,0.611961336,1.597511421,1.597511421,0.3
Bi1Cu1Se1O1,0.16,1,0.42,1,6.871,1,363.093,1,0.150974796,1,1,-5.6
Bi1Cu1Se0.98Te0.02O1,0.35,2.1875,0.4922,1.171904762,20.49,2.982098676,347.795,0.957867544,0.352488585,2.334751196,2.334751196,0.7
Bi1Cu1Se0.96Te0.04O1,0.32,2,0.5446,1.296666667,18.066,2.629311599,369.042,1.016384232,0.316252523,2.094737216,2.094737216,-1.2
Bi1Cu1Se0.94Te0.06O1,0.34,2.125,0.5847,1.392142857,22.089,3.214815893,360.543,0.992977006,0.343759839,2.276935282,2.276935282,1.1
Bi1Cu1Se0.92Te0.08O1,0.23,1.4375,0.5118,1.218571429,12.396,1.804104206,372.158,1.024966056,0.234819438,1.555355229,1.555355229,2.1
Bi1Cu1Se0.90Te0.10O1,0.24,1.5,0.4411,1.050238095,13.608,1.980497744,340.713,0.938362899,0.250687507,1.660459323,1.660459323,4.5
Bi1Cu1Se0.85Te0.15O1,0.25,1.5625,0.4462,1.062380952,23.931,3.482899141,263.659,0.726147296,0.260984384,1.728661944,1.728661944,4.4
Bi1Cu1Se0.80Te0.20O1,0.26,1.625,0.4521,1.076428571,14.868,2.163877165,337.597,0.929781075,0.262369437,1.73783601,1.73783601,0.9
Bi1Cu1Se1O1,0.23,1,0.4049,1,20.334,1,266.528,1,0.249723126,1,1,8.6
Bi0.96Pb0.04Cu1Se1O1,0.54,2.347826087,0.6398,1.580143245,155.387,7.641733058,176.505,0.662238114,0.529642115,2.120917366,2.120917366,-1.9
Bi0.94Pb0.06Cu1Se1O1,0.52,2.260869565,0.53,1.308965177,126.555,6.223812334,175.098,0.656959119,0.512464575,2.052131025,2.052131025,-1.4
Bi0.92Pb0.08Cu1Se1O1,0.75,3.260869565,0.5785,1.428747839,248.71,12.23123832,157.482,0.59086475,0.746362426,2.988759739,2.988759739,-0.5
Bi0.90Pb0.10Cu1Se1O1,0.68,2.956521739,0.6474,1.598913312,280.577,13.79841645,149.201,0.559794843,0.675337522,2.704345137,2.704345137,-0.7
Bi1Cu1Se1O1,0.28,1,0.4848,1,19.091,1,319.674,1,0.28169474,1,1,0.6
Bi0.940La0.060Cu1Se1O1,0.25,0.892857143,0.5552,1.145214521,28.295,1.48211199,264.994,0.828950744,0.250513054,0.889306825,0.889306825,0.2
Bi0.920La0.080Cu1Se1O1,0.26,0.928571429,0.5869,1.21060231,36.932,1.934524121,244.305,0.764231686,0.262906588,0.933303149,0.933303149,1.1
Bi0.900La0.100Cu1Se1O1,0.27,0.964285714,0.6317,1.303011551,42.727,2.238070295,235.807,0.737648354,0.263270956,0.934596635,0.934596635,-2.5
Bi0.875La0.125Cu1Se1O1,0.28,1,0.6855,1.413985149,55.909,2.928552721,218.812,0.684484819,0.273347167,0.9703666,0.9703666,-2.4
Bi1Cu1Se1O1,0.35,1,0.4858,1,19.07,1,355.135,1,0.346559792,1,1,-1.0
Bi0.96Ag0.04Cu1Se1O1,0.3,0.857142857,0.502,1.033347056,22.733,1.192081804,303.964,0.855911132,0.292883818,0.845117709,0.845117709,-2.4
Bi0.94Ag0.06Cu1Se1O1,0.32,0.914285714,0.4802,0.988472622,20.233,1.060985842,324.865,0.914764808,0.311273403,0.898180951,0.898180951,-2.7
Bi0.92Ag0.08Cu1Se1O1,0.42,1.2,0.423,0.870728695,22.733,1.192081804,331.351,0.933028285,0.413038938,1.191825907,1.191825907,-1.7
Bi0.90Ag0.10Cu1Se1O1,0.33,0.942857143,0.4746,0.976945245,21.337,1.118877819,320.541,0.902589156,0.323348491,0.933023675,0.933023675,-2.0
Bi1Cu1Se1O1,0.17,1,0.4162,1,7.739,1,368.864,1,0.177097876,1,1,4.2
Bi0.98Ca0.01Pb0.01Cu1Se1O1,0.42,2.470588235,0.4849,1.165064873,57.215,7.393074041,224.934,0.609801987,0.417893841,2.359677314,2.359677314,-0.5
Bi0.96Ca0.02Pb0.02Cu1Se1O1,0.52,3.058823529,0.533,1.28063431,86.273,11.14782272,213.559,0.578964063,0.516751193,2.917884752,2.917884752,-0.6
Bi0.92Ca0.04Pb0.04Cu1Se1O1,0.66,3.882352941,0.5276,1.267659779,148.315,19.16462075,183.702,0.498020951,0.66405813,3.74966738,3.74966738,0.6
Bi0.88Ca0.06Pb0.06Cu1Se1O1,1.08,6.352941176,0.5204,1.250360404,186.797,24.13709782,206.45,0.559691377,1.07092837,6.047098877,6.047098877,-0.8
Bi0.84Ca0.08Pb0.08Cu1Se1O1,0.97,5.705882353,0.5126,1.231619414,244.912,31.64646595,169.839,0.460437993,0.964726817,5.447421711,5.447421711,-0.5
Bi0.80Ca0.10Pb0.10Cu1Se1O1,0.74,4.352941176,0.571,1.371936569,273.184,35.29965112,148.867,0.40358235,0.742188233,4.190836432,4.190836432,0.3
Bi1Na0Cu1Se1O1F0,0.005403087,1,0.5355,1,1.198470613,1,178.043,1,0.004966103,1,1,-8.1
Bi0.95Na0.050Cu1Se1O0.95F0.05,0.089536878,16.57142857,0.5732,1.070401494,7.462838429,6.22696823,328.698,1.846171992,0.098466845,19.82778767,19.82778767,10.0
Bi0.90Na0.100Cu1Se1O0.90F0.10,0.055574614,10.28571429,0.5573,1.040709617,7.003068314,5.843337534,259.265,1.456193167,0.059126905,11.90609609,11.90609609,6.4
Bi0.85Na0.150Cu1Se1O0.85F0.15,0.103430532,19.14285714,0.5474,1.022222222,9.646746475,8.049214035,259.265,1.456193167,0.082920497,16.69729559,16.69729559,-19.8
Bi1Cu1Se1O1,0.16,1,0.7723,1,13.717,1,354.565,1,0.156301401,1,1,-2.3
Bi0.95Nd0.05Cu1Se1O1,0.22,1.375,0.77,0.997021883,27.581,2.010716629,295.916,0.834588862,0.219560504,1.40472512,1.40472512,-0.2
Bi0.90Nd0.10Cu1Se1O1,0.28,1.75,0.6603,0.854978635,44.568,3.249106948,244.566,0.689763513,0.28259993,1.808044766,1.808044766,0.9
Bi0.85Nd0.15Cu1Se1O1,0.15,0.9375,0.9641,1.248349087,65.019,4.740030619,178.008,0.502046169,0.149587493,0.957045123,0.957045123,-0.3
Bi0.94Pb0.06Cu1Se1O1,0.88,1,0.5723,1,142.428,1,226.154,1,0.891001053,1,1,1.3
Bi0.94Pb0.06Cu0.99Fe0.01Se1O1,1.19,1.352272727,0.5849,1.022016425,184.751,1.29715365,231.805,1.024987398,1.188088563,1.333431155,1.333431155,-0.2
Bi0.94Pb0.06Cu0.98Fe0.02Se1O1,1.03,1.170454545,0.5831,1.018871221,163.175,1.145666582,229.827,1.016241145,1.034691107,1.161268108,1.161268108,0.5
Bi0.94Pb0.06Cu0.97Fe0.03Se1O1,0.84,0.954545455,0.6452,1.127380744,129.98,0.912601455,244.662,1.08183804,0.844137623,0.94740362,0.94740362,0.5
Bi1Cu1Se1O1,0.1,1,0.4988,1,4.703420342,1,391.318,1,0.1010753,1,1,1.1
Bi0.975Ca0.025Cu1Se1O1,0.35,3.5,0.5383,1.079190056,24.43042569,5.194182939,280.868,0.717748736,0.250616245,2.479500382,2.479500382,-28.4
Bi0.950Ca0.050Cu1Se1O1,0.4,4,0.5601,1.122894948,43.44412299,9.236708572,230.707,0.589563986,0.288991484,2.859170188,2.859170188,-27.8
Bi0.925Ca0.075Cu1Se1O1,0.47,4.7,0.6172,1.237369687,109.3435333,23.24766348,218.65,0.558752728,0.592876436,5.865690591,5.865690591,26.1
Bi0.900Ca0.100Cu1Se1O1,0.38,3.8,0.6451,1.293303929,159.4359328,33.89787031,167.042,0.426870218,0.482734755,4.775991318,4.775991318,27.0
Bi1Cu1Se1O1,0.39,1,0.3701,1,8.566,1,405.451,1,0.266338394,1,1,-31.7
Bi0.875Ba0.125Cu1Se1O1,0.87,2.230769231,0.7491,2.024047555,321.177,37.49439645,169.938,0.419133261,0.866729714,3.254242472,3.254242472,-0.4
Bi0.750Ba0.250Cu1Se1O1,0.57,1.461538462,0.878,2.372331802,444.8,51.92621994,127.321,0.31402315,0.574868331,2.158413297,2.158413297,0.9
Bi1Cu1Se1O1,0.35,1,0.4932,1,30.612,1,308.235,1,0.412791341,1,1,17.9
Bi0.94Mg0.03Pb0.03Cu1Se1O1,0.93,2.657142857,0.6545,1.327047851,203.154,6.636417091,209.412,0.679390725,0.952833233,2.308268457,2.308268457,2.5
Bi0.88Mg0.06Pb0.06Cu1Se1O1,1.01,2.885714286,0.7325,1.485198702,353.432,11.5455377,172.101,0.558343472,1.000375546,2.423441205,2.423441205,-1.0
Bi0.82Mg0.09Pb0.09Cu1Se1O1,0.98,2.8,0.8227,1.668085969,589.981,19.27286685,140.84,0.4569241,0.995741485,2.412215046,2.412215046,1.6
Bi1Cu1Se1O1,0.35,1,0.4386,1,20.108,1,330.084,1,0.349661033,1,1,-0.1
Bi1Cu0.975Zn0.025Se1O1,0.34,0.971428571,0.5284,1.204742362,19.183,0.953998409,364.874,1.105397414,0.338327729,0.96758774,0.96758774,-0.5
Bi1Cu0.925Zn0.075Se1O1,0.37,1.057142857,0.4642,1.058367533,29.045,1.44444997,289.748,0.877800802,0.367709778,1.051617833,1.051617833,-0.6
Bi1Cu0.900Zn0.100Se1O1,0.5,1.428571429,0.4909,1.119243046,31.587,1.570867316,331.597,1.004583682,0.495261506,1.41640463,1.41640463,-0.9
